confidence_level,country_id,data_origin,engine_weight_limit,estimates,estimation_method,field_origins,method_note,source_basis,team_name,team_wc_id,year
C,country_algeria,mixed_estimated_proxy_and_synthetic_comparable,0.3,"{""possession_avg"": 38.1, ""shots_for"": 7.0, ""shots_against"": 15.13, ""passes_completed"": 260.0, ""crosses"": 15.02, ""set_piece_goals"": null, ""pressing_intensity"": 35.6, ""direct_attacks"": 23.83, ""tactical_style_profile"": ""balanced""}",G3_team_style_from_results_and_goal_profile_v1,"{""possession_avg"": ""synthetic_comparable"", ""shots_for"": ""estimated_proxy"", ""shots_against"": ""estimated_proxy"", ""passes_completed"": ""synthetic_comparable"", ""crosses"": ""synthetic_comparable"", ""set_piece_goals"": ""estimated_proxy"", ""pressing_intensity"": ""synthetic_comparable"", ""direct_attacks"": ""synthetic_comparable"", ""tactical_style_profile"": ""synthetic_comparable""}","Estimativa de estilo coletivo para diferenciar padrões de simulação; não representa estatística oficial de posse, passes ou pressão.","[""team_wc_metrics.goals_for_per_game"", ""team_wc_metrics.goals_against_per_game"", ""team_wc_metrics.win_rate"", ""team_wc_metrics.goal_difference""]",Algeria 1986,team_algeria_1986,1986
C,country_argentina,mixed_estimated_proxy_and_synthetic_comparable,0.3,"{""possession_avg"": 61.26, ""shots_for"": 18.4, ""shots_against"": 5.5, ""passes_completed"": 461.67, ""crosses"": 16.87, ""set_piece_goals"": null, ""pressing_intensity"": 65.46, ""direct_attacks"": 24.06, ""tactical_style_profile"": ""possession""}",G3_team_style_from_results_and_goal_profile_v1,"{""possession_avg"": ""synthetic_comparable"", ""shots_for"": ""estimated_proxy"", ""shots_against"": ""estimated_proxy"", ""passes_completed"": ""synthetic_comparable"", ""crosses"": ""synthetic_comparable"", ""set_piece_goals"": ""estimated_proxy"", ""pressing_intensity"": ""synthetic_comparable"", ""direct_attacks"": ""synthetic_comparable"", ""tactical_style_profile"": ""synthetic_comparable""}","Estimativa de estilo coletivo para diferenciar padrões de simulação; não representa estatística oficial de posse, passes ou pressão.","[""team_wc_metrics.goals_for_per_game"", ""team_wc_metrics.goals_against_per_game"", ""team_wc_metrics.win_rate"", ""team_wc_metrics.goal_difference""]",Argentina 1986,team_argentina_1986,1986
C,country_belgium,mixed_estimated_proxy_and_synthetic_comparable,0.3,"{""possession_avg"": 49.69, ""shots_for"": 14.97, ""shots_against"": 18.59, ""passes_completed"": 359.08, ""crosses"": 17.32, ""set_piece_goals"": null, ""pressing_intensity"": 48.83, ""direct_attacks"": 26.68, ""tactical_style_profile"": ""balanced""}",G3_team_style_from_results_and_goal_profile_v1,"{""possession_avg"": ""synthetic_comparable"", ""shots_for"": ""estimated_proxy"", ""shots_against"": ""estimated_proxy"", ""passes_completed"": ""synthetic_comparable"", ""crosses"": ""synthetic_comparable"", ""set_piece_goals"": ""estimated_proxy"", ""pressing_intensity"": ""synthetic_comparable"", ""direct_attacks"": ""synthetic_comparable"", ""tactical_style_profile"": ""synthetic_comparable""}","Estimativa de estilo coletivo para diferenciar padrões de simulação; não representa estatística oficial de posse, passes ou pressão.","[""team_wc_metrics.goals_for_per_game"", ""team_wc_metrics.goals_against_per_game"", ""team_wc_metrics.win_rate"", ""team_wc_metrics.goal_difference""]",Belgium 1986,team_belgium_1986,1986
C,country_brazil,mixed_estimated_proxy_and_synthetic_comparable,0.3,"{""possession_avg"": 61.27, ""shots_for"": 18.27, ""shots_against"": 5.5, ""passes_completed"": 459.11, ""crosses"": 16.87, ""set_piece_goals"": null, ""pressing_intensity"": 66.36, ""direct_attacks"": 24.06, ""tactical_style_profile"": ""possession""}",G3_team_style_from_results_and_goal_profile_v1,"{""possession_avg"": ""synthetic_comparable"", ""shots_for"": ""estimated_proxy"", ""shots_against"": ""estimated_proxy"", ""passes_completed"": ""synthetic_comparable"", ""crosses"": ""synthetic_comparable"", ""set_piece_goals"": ""estimated_proxy"", ""pressing_intensity"": ""synthetic_comparable"", ""direct_attacks"": ""synthetic_comparable"", ""tactical_style_profile"": ""synthetic_comparable""}","Estimativa de estilo coletivo para diferenciar padrões de simulação; não representa estatística oficial de posse, passes ou pressão.","[""team_wc_metrics.goals_for_per_game"", ""team_wc_metrics.goals_against_per_game"", ""team_wc_metrics.win_rate"", ""team_wc_metrics.goal_difference""]",Brazil 1986,team_brazil_1986,1986
C,country_bulgaria,mixed_estimated_proxy_and_synthetic_comparable,0.3,"{""possession_avg"": 39.02, ""shots_for"": 7.0, ""shots_against"": 13.68, ""passes_completed"": 262.91, ""crosses"": 15.35, ""set_piece_goals"": null, ""pressing_intensity"": 37.0, ""direct_attacks"": 24.34, ""tactical_style_profile"": ""balanced""}",G3_team_style_from_results_and_goal_profile_v1,"{""possession_avg"": ""synthetic_comparable"", ""shots_for"": ""estimated_proxy"", ""shots_against"": ""estimated_proxy"", ""passes_completed"": ""synthetic_comparable"", ""crosses"": ""synthetic_comparable"", ""set_piece_goals"": ""estimated_proxy"", ""pressing_intensity"": ""synthetic_comparable"", ""direct_attacks"": ""synthetic_comparable"", ""tactical_style_profile"": ""synthetic_comparable""}","Estimativa de estilo coletivo para diferenciar padrões de simulação; não representa estatística oficial de posse, passes ou pressão.","[""team_wc_metrics.goals_for_per_game"", ""team_wc_metrics.goals_against_per_game"", ""team_wc_metrics.win_rate"", ""team_wc_metrics.goal_difference""]",Bulgaria 1986,team_bulgaria_1986,1986
C,country_canada,mixed_estimated_proxy_and_synthetic_comparable,0.3,"{""possession_avg"": 41.13, ""shots_for"": 9.55, ""shots_against"": 15.13, ""passes_completed"": 278.15, ""crosses"": 16.89, ""set_piece_goals"": null, ""pressing_intensity"": 39.24, ""direct_attacks"": 27.1, ""tactical_style_profile"": ""balanced""}",G3_team_style_from_results_and_goal_profile_v1,"{""possession_avg"": ""synthetic_comparable"", ""shots_for"": ""estimated_proxy"", ""shots_against"": ""estimated_proxy"", ""passes_completed"": ""synthetic_comparable"", ""crosses"": ""synthetic_comparable"", ""set_piece_goals"": ""estimated_proxy"", ""pressing_intensity"": ""synthetic_comparable"", ""direct_attacks"": ""synthetic_comparable"", ""tactical_style_profile"": ""synthetic_comparable""}","Estimativa de estilo coletivo para diferenciar padrões de simulação; não representa estatística oficial de posse, passes ou pressão.","[""team_wc_metrics.goals_for_per_game"", ""team_wc_metrics.goals_against_per_game"", ""team_wc_metrics.win_rate"", ""team_wc_metrics.goal_difference""]",Canada 1986,team_canada_1986,1986
C,country_denmark,mixed_estimated_proxy_and_synthetic_comparable,0.3,"{""possession_avg"": 59.52, ""shots_for"": 18.5, ""shots_against"": 12.48, ""passes_completed"": 444.26, ""crosses"": 18.3, ""set_piece_goals"": null, ""pressing_intensity"": 61.9, ""direct_attacks"": 27.17, ""tactical_style_profile"": ""possession""}",G3_team_style_from_results_and_goal_profile_v1,"{""possession_avg"": ""synthetic_comparable"", ""shots_for"": ""estimated_proxy"", ""shots_against"": ""estimated_proxy"", ""passes_completed"": ""synthetic_comparable"", ""crosses"": ""synthetic_comparable"", ""set_piece_goals"": ""estimated_proxy"", ""pressing_intensity"": ""synthetic_comparable"", ""direct_attacks"": ""synthetic_comparable"", ""tactical_style_profile"": ""synthetic_comparable""}","Estimativa de estilo coletivo para diferenciar padrões de simulação; não representa estatística oficial de posse, passes ou pressão.","[""team_wc_metrics.goals_for_per_game"", ""team_wc_metrics.goals_against_per_game"", ""team_wc_metrics.win_rate"", ""team_wc_metrics.goal_difference""]",Denmark 1986,team_denmark_1986,1986
C,country_england,mixed_estimated_proxy_and_synthetic_comparable,0.3,"{""possession_avg"": 51.16, ""shots_for"": 12.17, ""shots_against"": 5.5, ""passes_completed"": 368.39, ""crosses"": 16.38, ""set_piece_goals"": null, ""pressing_intensity"": 53.36, ""direct_attacks"": 24.59, ""tactical_style_profile"": ""defensive_control""}",G3_team_style_from_results_and_goal_profile_v1,"{""possession_avg"": ""synthetic_comparable"", ""shots_for"": ""estimated_proxy"", ""shots_against"": ""estimated_proxy"", ""passes_completed"": ""synthetic_comparable"", ""crosses"": ""synthetic_comparable"", ""set_piece_goals"": ""estimated_proxy"", ""pressing_intensity"": ""synthetic_comparable"", ""direct_attacks"": ""synthetic_comparable"", ""tactical_style_profile"": ""synthetic_comparable""}","Estimativa de estilo coletivo para diferenciar padrões de simulação; não representa estatística oficial de posse, passes ou pressão.","[""team_wc_metrics.goals_for_per_game"", ""team_wc_metrics.goals_against_per_game"", ""team_wc_metrics.win_rate"", ""team_wc_metrics.goal_difference""]",England 1986,team_england_1986,1986
C,country_france,mixed_estimated_proxy_and_synthetic_comparable,0.3,"{""possession_avg"": 57.41, ""shots_for"": 15.6, ""shots_against"": 6.95, ""passes_completed"": 427.48, ""crosses"": 16.54, ""set_piece_goals"": null, ""pressing_intensity"": 60.51, ""direct_attacks"": 23.98, ""tactical_style_profile"": ""possession""}",G3_team_style_from_results_and_goal_profile_v1,"{""possession_avg"": ""synthetic_comparable"", ""shots_for"": ""estimated_proxy"", ""shots_against"": ""estimated_proxy"", ""passes_completed"": ""synthetic_comparable"", ""crosses"": ""synthetic_comparable"", ""set_piece_goals"": ""estimated_proxy"", ""pressing_intensity"": ""synthetic_comparable"", ""direct_attacks"": ""synthetic_comparable"", ""tactical_style_profile"": ""synthetic_comparable""}","Estimativa de estilo coletivo para diferenciar padrões de simulação; não representa estatística oficial de posse, passes ou pressão.","[""team_wc_metrics.goals_for_per_game"", ""team_wc_metrics.goals_against_per_game"", ""team_wc_metrics.win_rate"", ""team_wc_metrics.goal_difference""]",France 1986,team_france_1986,1986
C,country_hungary,mixed_estimated_proxy_and_synthetic_comparable,0.3,"{""possession_avg"": 42.6, ""shots_for"": 7.0, ""shots_against"": 19.0, ""passes_completed"": 303.7, ""crosses"": 15.41, ""set_piece_goals"": null, ""pressing_intensity"": 38.73, ""direct_attacks"": 23.92, ""tactical_style_profile"": ""balanced""}",G3_team_style_from_results_and_goal_profile_v1,"{""possession_avg"": ""synthetic_comparable"", ""shots_for"": ""estimated_proxy"", ""shots_against"": ""estimated_proxy"", ""passes_completed"": ""synthetic_comparable"", ""crosses"": ""synthetic_comparable"", ""set_piece_goals"": ""estimated_proxy"", ""pressing_intensity"": ""synthetic_comparable"", ""direct_attacks"": ""synthetic_comparable"", ""tactical_style_profile"": ""synthetic_comparable""}","Estimativa de estilo coletivo para diferenciar padrões de simulação; não representa estatística oficial de posse, passes ou pressão.","[""team_wc_metrics.goals_for_per_game"", ""team_wc_metrics.goals_against_per_game"", ""team_wc_metrics.win_rate"", ""team_wc_metrics.goal_difference""]",Hungary 1986,team_hungary_1986,1986
