derived_from_real_fields,dominant_estimate_confidence,estimated_or_synthetic_fields,missing_fields,player_name,player_wc_id,real_structured_fields,team_wc_id,year
17,C,15,1,Nacerdine Drid,player_p_33690_1986,9,team_algeria_1986,1986
17,C,15,1,Mahmoud Guendouz,player_p_88535_1986,9,team_algeria_1986,1986
16,D,15,2,Fathi Chebal,player_p_12743_1986,9,team_algeria_1986,1986
17,C,15,1,Nourredine Kourichi,player_p_97960_1986,9,team_algeria_1986,1986
17,C,15,1,Abdellah Medjadi Liegeon,player_p_52965_1986,9,team_algeria_1986,1986
17,C,15,1,Mohamed Kaci-Saïd,player_p_58877_1986,9,team_algeria_1986,1986
17,C,15,1,Salah Assad,player_p_40338_1986,9,team_algeria_1986,1986
17,C,15,1,Karim Maroc,player_p_16403_1986,9,team_algeria_1986,1986
17,C,15,1,Djamel Menad,player_p_08861_1986,9,team_algeria_1986,1986
17,C,15,1,Lakhdar Belloumi,player_p_59774_1986,9,team_algeria_1986,1986
17,C,15,1,Rabah Madjer,player_p_45774_1986,9,team_algeria_1986,1986
17,C,15,1,Tedj Bensaoula,player_p_68346_1986,9,team_algeria_1986,1986
17,C,15,1,Rachid Harkouk,player_p_85018_1986,9,team_algeria_1986,1986
17,C,15,1,Djamel Zidane,player_p_42885_1986,9,team_algeria_1986,1986
16,D,15,2,Abdelhamid Sadmi,player_p_15505_1986,9,team_algeria_1986,1986
17,C,15,1,Faouzi Mansouri,player_p_63564_1986,9,team_algeria_1986,1986
16,D,15,2,Fawzi Benkhalidi,player_p_65733_1986,9,team_algeria_1986,1986
17,C,15,1,Halim Benmabrouk,player_p_82715_1986,9,team_algeria_1986,1986
16,D,15,2,Mohammed Chaib,player_p_97535_1986,9,team_algeria_1986,1986
17,C,15,1,Fodil Megharia,player_p_80405_1986,9,team_algeria_1986,1986
17,C,15,1,Larbi El Hadi,player_p_93051_1986,9,team_algeria_1986,1986
16,D,15,2,Mourad Amara,player_p_15801_1986,9,team_algeria_1986,1986
16,D,15,2,Sergio Almirón,player_p_83449_1986,9,team_argentina_1986,1986
17,C,15,1,Sergio Batista,player_p_22408_1986,9,team_argentina_1986,1986
17,C,15,1,Ricardo Bochini,player_p_60363_1986,9,team_argentina_1986,1986
17,C,15,1,Claudio Borghi,player_p_45025_1986,9,team_argentina_1986,1986
17,C,15,1,José Luis Brown,player_p_62815_1986,9,team_argentina_1986,1986
16,D,15,2,Daniel Passarella,player_p_80376_1986,9,team_argentina_1986,1986
17,C,15,1,Jorge Burruchaga,player_p_95267_1986,9,team_argentina_1986,1986
17,C,15,1,Néstor Clausen,player_p_61630_1986,9,team_argentina_1986,1986
17,C,15,1,José Luis Cuciuffo,player_p_22755_1986,9,team_argentina_1986,1986
17,C,15,1,Diego Maradona,player_p_80404_1986,9,team_argentina_1986,1986
17,C,15,1,Jorge Valdano,player_p_02464_1986,9,team_argentina_1986,1986
17,C,15,1,Héctor Enrique,player_p_70033_1986,9,team_argentina_1986,1986
17,C,15,1,Oscar Garré,player_p_69165_1986,9,team_argentina_1986,1986
17,C,15,1,Ricardo Giusti,player_p_49676_1986,9,team_argentina_1986,1986
16,D,15,2,Luis Islas,player_p_24755_1986,9,team_argentina_1986,1986
17,C,15,1,Julio Olarticoechea,player_p_46907_1986,9,team_argentina_1986,1986
17,C,15,1,Pedro Pasculli,player_p_12666_1986,9,team_argentina_1986,1986
17,C,15,1,Nery Pumpido,player_p_15637_1986,9,team_argentina_1986,1986
17,C,15,1,Oscar Ruggeri,player_p_79080_1986,9,team_argentina_1986,1986
17,C,15,1,Carlos Tapia,player_p_98697_1986,9,team_argentina_1986,1986
16,D,15,2,Marcelo Trobbiani,player_p_65092_1986,9,team_argentina_1986,1986
16,D,15,2,Héctor Zelada,player_p_64307_1986,9,team_argentina_1986,1986
17,C,15,1,Jean-Marie Pfaff,player_p_84816_1986,9,team_belgium_1986,1986
17,C,15,1,Eric Gerets,player_p_73390_1986,9,team_belgium_1986,1986
17,C,15,1,Franky Van der Elst,player_p_08623_1986,9,team_belgium_1986,1986
17,C,15,1,Michel De Wolf,player_p_39297_1986,9,team_belgium_1986,1986
17,C,15,1,Michel Renquin,player_p_88903_1986,9,team_belgium_1986,1986
17,C,15,1,Franky Vercauteren,player_p_26401_1986,9,team_belgium_1986,1986
17,C,15,1,René Vandereycken,player_p_71806_1986,9,team_belgium_1986,1986
17,C,15,1,Enzo Scifo,player_p_97414_1986,9,team_belgium_1986,1986
17,C,15,1,Erwin Vandenbergh,player_p_06736_1986,9,team_belgium_1986,1986
17,C,15,1,Philippe Desmet,player_p_13042_1986,9,team_belgium_1986,1986
17,C,15,1,Jan Ceulemans,player_p_25456_1986,9,team_belgium_1986,1986
16,D,15,2,Jacky Munaron,player_p_38187_1986,9,team_belgium_1986,1986
17,C,15,1,Georges Grün,player_p_99499_1986,9,team_belgium_1986,1986
17,C,15,1,Leo Clijsters,player_p_05723_1986,9,team_belgium_1986,1986
17,C,15,1,Leo Van Der Elst,player_p_43888_1986,9,team_belgium_1986,1986
17,C,15,1,Nico Claesen,player_p_47038_1986,9,team_belgium_1986,1986
17,C,15,1,Raymond Mommens,player_p_87975_1986,9,team_belgium_1986,1986
17,C,15,1,Daniel Veyt,player_p_24703_1986,9,team_belgium_1986,1986
17,C,15,1,Hugo Broos,player_p_93848_1986,9,team_belgium_1986,1986
16,D,15,2,Gilbert Bodart,player_p_47067_1986,9,team_belgium_1986,1986
17,C,15,1,Stéphane Demol,player_p_95299_1986,9,team_belgium_1986,1986
17,C,15,1,Patrick Vervoort,player_p_92384_1986,9,team_belgium_1986,1986
17,C,15,1,not applicable Carlos,player_p_43781_1986,9,team_brazil_1986,1986
17,C,15,1,not applicable Édson,player_p_33125_1986,9,team_brazil_1986,1986
16,D,15,2,not applicable Oscar,player_p_69644_1986,9,team_brazil_1986,1986
17,C,15,1,not applicable Edinho,player_p_12950_1986,9,team_brazil_1986,1986
17,C,15,1,not applicable Falcão,player_p_35736_1986,9,team_brazil_1986,1986
17,C,15,1,not applicable Júnior,player_p_83096_1986,9,team_brazil_1986,1986
17,C,15,1,not applicable Müller,player_p_60969_1986,9,team_brazil_1986,1986
17,C,15,1,not applicable Casagrande,player_p_19190_1986,9,team_brazil_1986,1986
17,C,15,1,not applicable Careca,player_p_90635_1986,9,team_brazil_1986,1986
