derived_from_real_fields,dominant_estimate_confidence,estimated_or_synthetic_fields,missing_fields,real_structured_fields,team_display_name,team_wc_id,year
18,C,8,0,5,Algeria 1986,team_algeria_1986,1986
18,C,8,0,6,Argentina 1986,team_argentina_1986,1986
18,C,8,0,6,Belgium 1986,team_belgium_1986,1986
18,C,8,0,5,Brazil 1986,team_brazil_1986,1986
18,C,8,0,5,Bulgaria 1986,team_bulgaria_1986,1986
18,C,8,0,5,Canada 1986,team_canada_1986,1986
18,C,8,0,5,Denmark 1986,team_denmark_1986,1986
18,C,8,0,5,England 1986,team_england_1986,1986
18,C,8,0,6,France 1986,team_france_1986,1986
18,C,8,0,5,Hungary 1986,team_hungary_1986,1986
18,C,8,0,5,Iraq 1986,team_iraq_1986,1986
18,C,8,0,5,Italy 1986,team_italy_1986,1986
18,C,8,0,5,Mexico 1986,team_mexico_1986,1986
18,C,8,0,5,Morocco 1986,team_morocco_1986,1986
18,C,8,0,5,Northern Ireland 1986,team_northern_ireland_1986,1986
18,C,8,0,5,Paraguay 1986,team_paraguay_1986,1986
18,C,8,0,5,Poland 1986,team_poland_1986,1986
18,C,8,0,5,Portugal 1986,team_portugal_1986,1986
18,C,8,0,5,Scotland 1986,team_scotland_1986,1986
18,C,8,0,5,South Korea 1986,team_south_korea_1986,1986
18,C,8,0,5,Soviet Union 1986,team_soviet_union_1986,1986
18,C,8,0,5,Spain 1986,team_spain_1986,1986
18,C,8,0,5,Uruguay 1986,team_uruguay_1986,1986
18,C,8,0,6,West Germany 1986,team_west_germany_1986,1986
18,C,8,0,6,Argentina 1990,team_argentina_1990,1990
18,C,8,0,5,Austria 1990,team_austria_1990,1990
18,C,8,0,5,Belgium 1990,team_belgium_1990,1990
18,C,8,0,5,Brazil 1990,team_brazil_1990,1990
18,C,8,0,5,Cameroon 1990,team_cameroon_1990,1990
18,C,8,0,5,Colombia 1990,team_colombia_1990,1990
18,C,8,0,5,Costa Rica 1990,team_costa_rica_1990,1990
18,C,8,0,5,Czechoslovakia 1990,team_czechoslovakia_1990,1990
18,C,8,0,5,Egypt 1990,team_egypt_1990,1990
18,C,8,0,6,England 1990,team_england_1990,1990
18,C,8,0,6,Italy 1990,team_italy_1990,1990
18,C,8,0,5,Netherlands 1990,team_netherlands_1990,1990
18,C,8,0,5,Republic of Ireland 1990,team_republic_of_ireland_1990,1990
18,C,8,0,5,Romania 1990,team_romania_1990,1990
18,C,8,0,5,Scotland 1990,team_scotland_1990,1990
18,C,8,0,5,South Korea 1990,team_south_korea_1990,1990
18,C,8,0,5,Soviet Union 1990,team_soviet_union_1990,1990
18,C,8,0,5,Spain 1990,team_spain_1990,1990
18,C,8,0,5,Sweden 1990,team_sweden_1990,1990
18,C,8,0,5,United Arab Emirates 1990,team_united_arab_emirates_1990,1990
18,C,8,0,5,United States 1990,team_united_states_1990,1990
18,C,8,0,5,Uruguay 1990,team_uruguay_1990,1990
18,C,8,0,6,West Germany 1990,team_west_germany_1990,1990
18,C,8,0,5,Yugoslavia 1990,team_yugoslavia_1990,1990
18,C,8,0,5,Argentina 1994,team_argentina_1994,1994
18,C,8,0,5,Belgium 1994,team_belgium_1994,1994
18,C,8,0,5,Bolivia 1994,team_bolivia_1994,1994
18,C,8,0,6,Brazil 1994,team_brazil_1994,1994
18,C,8,0,6,Bulgaria 1994,team_bulgaria_1994,1994
18,C,8,0,5,Cameroon 1994,team_cameroon_1994,1994
18,C,8,0,5,Colombia 1994,team_colombia_1994,1994
